title,brand,superbowl_ads_dot_com_url,youtube_url,year,funny,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count
"Hyundai ""Deprogramming""",Hynudai,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-deprogramming-video/,https://www.youtube.com/watch?v=32d5c_IW2Xc,2011,FALSE,FALSE,FALSE,TRUE,FALSE,92,1,0,0
Coca-Cola: Political Parties (Super Bowl 42 Commercial),Coca-Cola,https://superbowl-ads.com/2008-coca-cola-political-parties/,https://www.youtube.com/watch?v=2_LWZe2BGaE,2008,TRUE,TRUE,FALSE,FALSE,FALSE,14267,36,2,7
Bud Light - Satin Sheets,Bud Light,https://superbowl-ads.com/2002-bud-light-satin-sheets/,https://www.youtube.com/watch?v=-LwSb4cCAnw,2002,TRUE,FALSE,TRUE,FALSE,TRUE,67452,270,15,7
"KIA SORENTO ""SPACE BABIES""",Kia,https://superbowl-ads.com/video-2013-kia-super-bowl-xlvii-commercial-space-babies/,https://www.youtube.com/watch?v=k5vbGQb7jR0,2013,TRUE,FALSE,FALSE,TRUE,TRUE,10338,39,2,1
Justin Timberlake Pepsi Ad,Pepsi,https://superbowl-ads.com/2008-pepsi-every-sip-with-justin-timberlake/,https://www.youtube.com/watch?v=AKKM8sP24BE,2008,TRUE,TRUE,TRUE,FALSE,TRUE,236941,594,14,65
Hyundai - Anachronistic City.mp4,Hynudai,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-anachronistic-city-video/,https://www.youtube.com/watch?v=-BVMOKtawUk,2011,FALSE,FALSE,FALSE,FALSE,FALSE,56,0,0,0
Bud Light Language of Love Commercial,Bud Light,https://superbowl-ads.com/2008-bud-light-language-of-love/,https://www.youtube.com/watch?v=Ao0x4zsb724,2008,TRUE,TRUE,FALSE,FALSE,TRUE,729583,588,180,119
Bud Light Jackie Moon TV Commercial,Bud Light,https://superbowl-ads.com/2008-bud-light-jackie-moon-will-ferrell/,https://www.youtube.com/watch?v=ecqiZn2DDFQ,2008,TRUE,TRUE,FALSE,FALSE,TRUE,1060001,1384,121,180
E-Trade Baby Girlfriend Super Bowl Commercial 2010,E-Trade,https://superbowl-ads.com/hd-exclusive-e-trade-baby-girlfriend-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=tbLTl7egwlU,2010,TRUE,FALSE,FALSE,FALSE,TRUE,1046640,1206,58,204
Budweiser Black Crown - Celebration - Super Bowl 2013 Ads,Budweiser,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-celebration/,https://www.youtube.com/watch?v=2WNvlXoDs7w,2013,FALSE,FALSE,FALSE,FALSE,TRUE,236,1,0,0
funny pepsi commercial,Pepsi,https://superbowl-ads.com/2001-pepsi-roller-coaster/,https://www.youtube.com/watch?v=MwfL-DkL1Vg,2001,TRUE,FALSE,FALSE,FALSE,TRUE,65162,109,4,38
"Diet Coke Twisted Mango Super Bowl 2018 TV Commercial, 'Groove' Ft Hayley Magnus",Coca-Cola,https://superbowl-ads.com/diet-coke-twisted-mango-groove/,https://www.youtube.com/watch?v=nkGd47iB-wU,2018,FALSE,FALSE,FALSE,FALSE,TRUE,179,1,0,0
Bud Light commercial - upside down clown,Bud Light,https://superbowl-ads.com/2003-bud-light-upside-down-clown/,https://www.youtube.com/watch?v=DTvxyDwP2CA,2003,TRUE,FALSE,FALSE,FALSE,FALSE,177285,229,10,32
PEPSI MAX - LOVE HURTS,Pepsi,https://superbowl-ads.com/2011-pepsi-max-love-hurts/,https://www.youtube.com/watch?v=r4eyQBvcBUA,2011,TRUE,FALSE,TRUE,FALSE,TRUE,204026,476,159,9
"ETrade ""This Is Getting Old"" 2018 Super Bowl Commercial",E-Trade,https://superbowl-ads.com/etrade-commercial-this-is-getting-old/,https://www.youtube.com/watch?v=Qx5-AZlfjp4,2018,TRUE,FALSE,FALSE,FALSE,TRUE,34440,178,11,15
"Coca Cola ""It's Mine"" Super Bowl commercial",Coca-Cola,https://superbowl-ads.com/2008-coca-cola-its-mine/,https://www.youtube.com/watch?v=-ACk9mRky5k,2008,TRUE,TRUE,TRUE,TRUE,FALSE,62538,217,4,29
"Kia 'Hot Bots' - 2014 Kia Forte Super Bowl XLVII Car Ad (HD) ""Respect the tech"" - Official TV Spot",Kia,https://superbowl-ads.com/video-kia-forte-2013-super-bowl-xlvii-commercial-hot-bots/,https://www.youtube.com/watch?v=yhPBzlB6VJI,2013,TRUE,FALSE,TRUE,FALSE,TRUE,28847,154,10,30
"Coca Cola Super Bowl Commercial 2014 ""Its Beautiful"" HD 720p",Coca-Cola,https://superbowl-ads.com/2014-coca-cola-its-beautiful/,https://www.youtube.com/watch?v=D4BC8zUfNhU,2014,FALSE,FALSE,FALSE,TRUE,FALSE,92878,450,88,139
Budweiser Return of the King 2012 Super Bowl commercial,Budweiser,https://superbowl-ads.com/2012-budweiser-return-of-the-king/,https://www.youtube.com/watch?v=TieDNumMwOc,2012,FALSE,FALSE,FALSE,TRUE,FALSE,10,0,0,0
Bud Light Ad Fergus Bud Light Bad dog!,Bud Light,https://superbowl-ads.com/2004-bud-light-fergus/,https://www.youtube.com/watch?v=j7QA9oHpduk,2004,TRUE,FALSE,TRUE,TRUE,FALSE,5699,27,1,0
Super Bowl XLI Commercial -Bud Light Starring: Carlos Mencia,Bud Light,https://superbowl-ads.com/2007-bud-light-class-with-carlos-mencia/,https://www.youtube.com/watch?v=670X2MCWzK0,2007,TRUE,TRUE,FALSE,FALSE,FALSE,955616,1301,134,194
Universal Casting Budweiser Commercial,Budweiser,https://superbowl-ads.com/2007-budweiser-don-shula-vs-jayz/,https://www.youtube.com/watch?v=YnGpb8lbPOI,2007,FALSE,TRUE,FALSE,FALSE,FALSE,186,0,0,0
Commercial Ads 2019 - KIA - The Great Unknowns – What If?,Kia,https://superbowl-ads.com/2019-kia-the-great-unknowns-what-if/,https://www.youtube.com/watch?v=nONhop0Kq-E,2019,FALSE,FALSE,FALSE,FALSE,FALSE,518,2,1,0
Bud Light Commercial-Mother-in-Law,Bud Light,https://superbowl-ads.com/2003-bud-light-mother-in-law/,https://www.youtube.com/watch?v=RuIXFuwLb2s,2003,TRUE,FALSE,FALSE,FALSE,FALSE,175482,268,15,32
Toyota Super Bowl 2018 Commercial (one team),Toyota,https://superbowl-ads.com/toyota-2018-big-game-ad-one-team/,https://www.youtube.com/watch?v=QwF3ipuNyfc,2018,TRUE,FALSE,FALSE,FALSE,FALSE,353513,1448,222,231
"Budweiser ""Instant Replay"" 2003",Budweiser,https://superbowl-ads.com/2003-budweiser-instant-replay/,https://www.youtube.com/watch?v=hM79LTkT7ek,2003,TRUE,FALSE,FALSE,TRUE,FALSE,2732,8,0,1
"The Clydesdales ""Brotherhood"" - 2013 Budweiser Super Bowl [Commercial]",Budweiser,https://superbowl-ads.com/video-budweiser-2013-super-bowl-xlvii-ad-the-clydesdales-brotherhood/,https://www.youtube.com/watch?v=eJucRz8kYo0,2013,FALSE,FALSE,FALSE,TRUE,FALSE,246619,2225,64,67
Budweiser - Body Bridge (2010) [HD],Budweiser,https://superbowl-ads.com/hd-exclusive-budweiser-body-bridge-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=IQHlA9qKJv4,2010,TRUE,FALSE,FALSE,TRUE,FALSE,42,1,0,0
Budweiser - No dogs allowed,Bud Light,https://superbowl-ads.com/2003-bud-light-no-pets-allowed/,https://www.youtube.com/watch?v=BKexURCYxtk,2003,TRUE,FALSE,FALSE,TRUE,FALSE,16083,60,3,1
"E*TRADE Financial - Monkey Musical (2002, USA)",E-Trade,https://superbowl-ads.com/2002-etrade-monkey-musical/,https://www.youtube.com/watch?v=SK1i1iyE7RA,2002,TRUE,FALSE,FALSE,TRUE,TRUE,1361,9,0,0
"Super Bowl 2006: Bud Light ""On the Roof""",Budweiser,https://superbowl-ads.com/2006-budweiser-on-the-roof/,https://www.youtube.com/watch?v=q05QIp5qbnY,2006,TRUE,FALSE,TRUE,FALSE,FALSE,120196,167,15,10
"Coke 2012 Commercial: ""Catch"" starring NE_Bear",Coca-Cola,https://superbowl-ads.com/2012-coca-cola-catch-ne-bear/,https://www.youtube.com/watch?v=S2nBBMbjS8w,2012,FALSE,FALSE,TRUE,TRUE,FALSE,22849816,92333,42386,592
Bud Light When the Trojan horse goes wrong Commercial,Bud Light,https://superbowl-ads.com/2019-bud-light-trojan-horse-occupants/,https://www.youtube.com/watch?v=nScg3KmA_6k,2019,TRUE,FALSE,FALSE,FALSE,FALSE,125,2,0,0
